transact,API call signature,
bindService,API call signature,
onServiceConnected,API call signature,
ServiceConnection,API call signature,
android.os.Binder,API call signature,
READ_SMS,,
attachInterface,API call signature,
WRITE_SMS,,
TelephonyManager.getSubscriberId,API call signature,
Ljava.lang.Class.getCanonicalName,API call signature,
Ljava.lang.Class.getMethods,API call signature,
android.intent.action.BOOT_COMPLETED,,
Ljava.lang.Class.getField,API call signature,
READ_PHONE_STATE,,
Landroid.content.Context.unregisterReceiver,API call signature,
GET_ACCOUNTS,,
SEND_SMS,,
Landroid.content.Context.registerReceiver,API call signature,
getBinder,API call signature,
Ljava.lang.Class.cast,API call signature,
chmod,,
createSubprocess,API call signature,
Ljava.net.URLDecoder,API call signature,
WRITE_APN_SETTINGS,,
TelephonyManager.getDeviceId,API call signature,
RECEIVE_SMS,,
Ljava.lang.Class.getDeclaredField,API call signature,
HttpGet.init,API call signature,
Ljava.lang.Class.getPackage,API call signature,
abortBroadcast,API call signature,
ClassLoader,API call signature,
TelephonyManager.getLine1Number,API call signature,
getCallingUid,API call signature,
USE_CREDENTIALS,,
MANAGE_ACCOUNTS,,
android.telephony.gsm.SmsManager,API call signature,
.system.bin,,
Ljava.lang.Class.getMethod,API call signature,
RESTART_PACKAGES,,
INSTALL_PACKAGES,,
Ljava.lang.Class.forName,API call signature,
TelephonyManager.getSimSerialNumber,API call signature,
CAMERA,,
CALL_PHONE,,
android.intent.action.SEND,,
onBind,API call signature,
android.content.pm.Signature,API call signature,
READ_SYNC_SETTINGS,,
AUTHENTICATE_ACCOUNTS,,
INTERNET,,
PackageInstaller,API call signature,
ACCESS_LOCATION_EXTRA_COMMANDS,,
HttpUriRequest,API call signature,
remount,,
android.telephony.SmsManager,API call signature,
RECEIVE_BOOT_COMPLETED,,
android.intent.action.ACTION_POWER_CONNECTED,,
findClass,API call signature,
WRITE_CONTACTS,,
.system.app,,
Ljava.lang.Class.getResource,API call signature,
WRITE_SYNC_SETTINGS,,
android.intent.action.TIME_SET,,
android.intent.action.SEND_MULTIPLE,,
ACCESS_WIFI_STATE,,
URLClassLoader,API call signature,
BLUETOOTH,,
WAKE_LOCK,,
SYSTEM_ALERT_WINDOW,,
TelephonyManager.getSimCountryIso,API call signature,
chown,,
NFC,,
READ_HISTORY_BOOKMARKS,,
HttpPost.init,API call signature,
TelephonyManager.getNetworkOperator,API call signature,
Ljava.lang.Class.getClasses,API call signature,
BIND_REMOTEVIEWS,,
READ_PROFILE,,
READ_CALENDAR,,
CHANGE_WIFI_STATE,,
READ_SYNC_STATS,,
WRITE_HISTORY_BOOKMARKS,,
DISABLE_KEYGUARD,,
READ_LOGS,,
RECORD_AUDIO,,
getCallingPid,API call signature,
MODIFY_AUDIO_SETTINGS,,
android.intent.action.PACKAGE_REPLACED,,
android.intent.action.TIMEZONE_CHANGED,,
BROADCAST_STICKY,,
Runtime.exec,API call signature,
android.intent.action.PACKAGE_ADDED,,
_UNMOUNT_FILESYSTEMS,,
android.intent.action.ACTION_POWER_DISCONNECTED,,
Ljava.lang.Class.getDeclaredClasses,API call signature,
android.intent.action.PACKAGE_REMOVED,,
BLUETOOTH_ADMIN,,
android.os.IBinder,API call signature,
IBinder,API call signature,
WRITE_SECURE_SETTINGS,,
WRITE_SETTINGS,,
Ljavax.crypto.spec.SecretKeySpec,API call signature,
android.intent.action.BATTERY_OKAY,,
READ_CONTACTS,,
Binder,API call signature,
SUBSCRIBED_FEEDS_READ,,
READ_CALL_LOG,,
SUBSCRIBED_FEEDS_WRITE,,
BATTERY_STATS,,
RECEIVE_WAP_PUSH,,
PathClassLoader,API call signature,
KILL_BACKGROUND_PROCESSES,,
ACCESS_COARSE_LOCATION,,
android.intent.action.ACTION_SHUTDOWN,,
Runtime.load,API call signature,
android.intent.action.SENDTO,,
SET_WALLPAPER,,
android.intent.action.NEW_OUTGOING_CALL,,
CHANGE_NETWORK_STATE,,
REBOOT,,
DexClassLoader,API call signature,
WRITE_CALENDAR,,
PROCESS_OUTGOING_CALLS,,
BIND_DEVICE_ADMIN,,
CHANGE_WIFI_MULTICAST_STATE,,
MASTER_CLEAR,,
android.intent.action.PACKAGE_DATA_CLEARED,,
FLASHLIGHT,,
android.intent.action.BATTERY_LOW,,
SET_ALARM,,
RECEIVE_MMS,,
divideMessage,API call signature,
WRITE_CALL_LOG,,
WRITE_PROFILE,,
WRITE_USER_DICTIONARY,,
BIND_INPUT_METHOD,,
READ_SOCIAL_STREAM,,
REORDER_TASKS,,
defineClass,API call signature,
PERSISTENT_ACTIVITY,,
ProcessBuilder,API call signature,
android.intent.action.SCREEN_ON,,
READ_USER_DICTIONARY,,
WRITE_SOCIAL_STREAM,,
SET_TIME,,
mount,,
System.loadLibrary,API call signature,
CHANGE_COMPONENT_ENABLED_STATE,,
ACCESS_MOCK_LOCATION,,
DUMP,,
CALL_PRIVILEGED,,
DELETE_PACKAGES,,
READ_FRAME_BUFFER,,
WRITE_GSERVICES,,
ACCOUNT_MANAGER,,
KeySpec,API call signature,
sendDataMessage,API call signature,
android.intent.action.CALL,,
BIND_APPWIDGET,,
android.intent.action.SCREEN_OFF,,
intent.action.RUN,,
SecretKey,API call signature,
CLEAR_APP_CACHE,,
ACCESS_FINE_LOCATION,,
SET_WALLPAPER_HINTS,,
Context.bindService,API call signature,
MessengerService,API call signature,
ACCESS_NETWORK_STATE,,
android.content.pm.PackageInfo,API call signature,
BIND_ACCESSIBILITY_SERVICE,,
INTERNAL_SYSTEM_WINDOW,,
SET_TIME_ZONE,,
Process.start,API call signature,
MOUNT_FORMAT_FILESYSTEMS,,
CLEAR_APP_USER_DATA,,
UPDATE_DEVICE_STATS,,
IRemoteService,API call signature,
android.intent.action.SET_WALLPAPER,,
BROADCAST_WAP_PUSH,,
android.intent.action.CALL_BUTTON,,
INJECT_EVENTS,,
ACCESS_SURFACE_FLINGER,,
SET_PROCESS_LIMIT,,
ADD_VOICEMAIL,,
INSTALL_LOCATION_PROVIDER,,
SET_ACTIVITY_WATCHER,,
TelephonyManager.getCallState,API call signature,
VIBRATE,,
Runtime.getRuntime,API call signature,
CHANGE_CONFIGURATION,,
BROADCAST_SMS,,
BIND_WALLPAPER,,
BROADCAST_PACKAGE_REMOVED,,
TelephonyManager.isNetworkRoaming,API call signature,
TelephonyManager.getSimOperator,API call signature,
WRITE_EXTERNAL_STORAGE,,
android.intent.action.CAMERA_BUTTON,,
android.intent.action.REBOOT,,
sendMultipartTextMessage,API call signature,
BIND_VPN_SERVICE,,
STATUS_BAR,,
Ljavax.crypto.Cipher,API call signature,
MODIFY_PHONE_STATE,,
android.intent.action.PACKAGE_RESTARTED,,
READ_INPUT_STATE,,
READ_EXTERNAL_STORAGE,,
Ljava.lang.Object.getClass,API call signature,
SET_ORIENTATION,,
DEVICE_POWER,,
EXPAND_STATUS_BAR,,
GET_TASKS,,
GLOBAL_SEARCH,,
GET_PACKAGE_SIZE,,
